country	institution	id	group	country_cd
Germany	NanotecMARIN (Germany)	1c9ec8469b9ba650e39df286a8be19b1	assistant_prof	code_2
France	École Nationale Supérieure de Formation de l’Enseignement Agricole	de30fa9748022a16aa28efe624b33b2f	PhD	code_2
Ukraine	Interregional Academy of Personnel Management	f89804c533d2b3861bd11b50ae5d043e	PostDoc	code_5
France	Bioprojet (France)	586e05eddae7424d0f209b7ed207dea3	PostDoc	code_2
Italy	Accademia della Crusca	a2fd2f5e8cf74b96b38dd3548e5b7d98	assistant_prof	code_3
Czechia	Puppets in Hospital	c91685623495b5ca74343fbb1a64d095	PhD	code_2
Portugal	National Museum of Ancient Art	9c8e95a20dd3bc54c02f9562747d9e41	PostDoc	code_4
Canada	St. Joseph’s Healthcare Hamilton	7091a879dbf623625cbe0f69158b335c	PhD	code_1
Russian Federation	Nizhnevartovsk State University	599461d1905e8a18e562c9f64f579c18	assistant_prof	code_4
Australia	Indigenous Wellbeing Centre	ab553746b2396fc086d7a120a44940bc	PhD	code_1
Republic of Korea	National Science Museum	b4d5b4a8dc8726908abd0cdc2b49db13	assistant_prof	code_4
China	Biomarker Technologies (China)	b0b9470b6a3a03f774860a52fc81cbc2	PhD	code_1
India	Astellas Pharma (India)	ba4ea53ebe2cc184d2fe9b5d2c0d79a5	assistant_prof	code_3
United Kingdom of Great Britain and Northern Ireland	Brick Development Association	e572b48c6f31c81001f77faa271e7a70	PhD	code_5
Italy	Industrie Borla (Italy)	f26e183f9c74730da32f420e9fbc2d42	prof	code_3
Israel	Misgav Ladach	0c0d31aeddad15f0daa433302448c1e1	PhD	code_3
Japan	Japan Research Institute	d51a658463c0dda8ca3bcca0249c117a	assistant_prof	code_3
Germany	Brandenburg University of Technology Cottbus-Senftenberg	5aa1d7f9021f67b6dcd63a16238a9e15	assistant_prof	code_2
United Kingdom of Great Britain and Northern Ireland	Energy Technologies Institute	34be83d8220438e9ddc1f465e4691dd4	prof	code_5
United Kingdom of Great Britain and Northern Ireland	University of Bradford	d4262681306cbbb5f72a615cf1e333df	prof	code_5
United Kingdom of Great Britain and Northern Ireland	Physiological Society	9432451b6bac2f88f60940b963b1074a	PostDoc	code_5
Germany	Arbeiterwohlfahrt München	a84d95a246957ba7473700bea717e694	PostDoc	code_2
Brazil	Aliança Orgânica Soluções Ambientais (Brazil)	68592bf5b6123be211d36d7f7ac79320	PhD	code_1
Russian Federation	VNIIStrudormash (Russia)	25bfc6673e22f22fc9a59a590e310308	prof	code_4
Germany	Archdiocese of Cologne	c438916c8b356f842f73bbf12365e883	PhD	code_2
Brazil	Feminist Institute for Democracy	acc3860658cd0603d5b386ad10996c03	prof	code_1
United Kingdom of Great Britain and Northern Ireland	Environmental Information Data Centre	56503489a0eae753d72f8e88615e8ec1	assistant_prof	code_5
Afghanistan	Kabul University	170e7822b3bd45b351162b7c05f213d4	assistant_prof	code_1
United Kingdom of Great Britain and Northern Ireland	Institute for Jewish Policy Research	6b1de786bd52e9a80481f22de9e048c0	prof	code_5
Germany	Enviscope (Germany)	6a538210ba019802ffea51d0339c4b10	PhD	code_2
India	Calcutta Research Group	20dca75a0c9f7f199fb6ba4cc4821c0f	PostDoc	code_3
Switzerland	Virtu Public Affairs	07847f135bc1378a94a2bf587d682782	PhD	code_5
China	Ningbo Polytechnic	a28dc5a29600de5329b882a415f266e7	PostDoc	code_1
Japan	Kagawa Nutrition University	ad9bc9829f65723a2b7f1619a1ce4c5e	PostDoc	code_3
Italy	Istituto di Neuroscienze	12a07e2d816f872ff16ddc69d5b2ecae	PhD	code_3
Japan	Japanese Red Cross Nagoya Daiichi Hospital	471a331a24036277c1a54b249dd788f6	PostDoc	code_3
Republic of Korea	The Korea Association of Yeolin Education	23023e380aee35f9e3c5d9d69ad6e9a2	prof	code_4
Philippines	Department of Environment and Natural Resources	b55815845501ef87f259bd4b6f4d1482	PhD	code_4
United Kingdom of Great Britain and Northern Ireland	West Of Scotland Housing Association	46969f07661a36ed0473c49ec249b32b	PostDoc	code_5
Italy	Istituto Zooprofilattico Sperimentale della Puglia e della Basilicata	0a99f778dec135ea4d794fa1e96672f8	PostDoc	code_3
Mexico	Mathematics Research Center	145812f3dde18d208bd42888e58a6967	PostDoc	code_3
United Kingdom of Great Britain and Northern Ireland	Bristol Homeopathic Hospital	689fb31bf7ac6d61418b309d7c9aa868	PhD	code_5
United Kingdom of Great Britain and Northern Ireland	Greater Manchester STEM Centre	702c1d41ad190f684e5ab157e8cf2a2b	prof	code_5
Netherlands	Tilburg University	b7028a65aef5c45ab4d516b61e4ec8e9	prof	code_4
United Kingdom of Great Britain and Northern Ireland	International Foundation for Integrated Care	de3428a17d94c7ba94b1fc332247fa29	assistant_prof	code_5
Canada	Enerkem (Canada)	bdd4abf0319df38de1f3d0741fe10e24	PhD	code_1
Iran (Islamic Republic of)	Zabol University of Medical Sciences	3fd97322f5e94ecd9767b847389ab418	PostDoc	code_3
Germany	Parmenides Foundation	9ef4bc5904b71a688abfb5ca08efaa65	PhD	code_2
Slovenia	Urban planning Institute of the Republic of Slovenia	84879282f21696bc80f2713f9809d16e	PostDoc	code_5
Denmark	Center for Interdisciplinary Studies of Molecular Interactions	83ab782b5d59add9d88d5c49d290e21c	prof	code_2
Sweden	AlzeCure Pharma (Sweden)	926695858988d47dabc958b8197a4e02	prof	code_5
Belgium	Health Information Management	2733e9b172f60cce1a26b08a23f7f8b7	prof	code_1
China	North University of China	d23043b747c5cf2c042338d2bd7000cc	assistant_prof	code_1
Canada	Cypress Health Region	bb56adf120af5be121df2bb292e75eb3	PostDoc	code_1
Switzerland	Blum & Grob Attorneys at Law	a75013f702151f762c2052f4dbc5fee6	PhD	code_5
United Kingdom of Great Britain and Northern Ireland	NEC (United Kingdom)	a7bc3908379a9aaf7555277b0dd50e9c	PostDoc	code_5
Spain	Instituto Químico Biológico	d64204160569e6498a71e61ac1414ca3	PostDoc	code_5
Mexico	Institute for Scientific and Technological Research	cafdc528c0057eecb746721dea1d65a8	assistant_prof	code_3
Brazil	Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina	85818286c3dddc59e2cafe002629a962	PostDoc	code_1
United Kingdom of Great Britain and Northern Ireland	Institute of Bio-Sensing Technology	b575e3ab7dce8cfadb676fb32b44f28c	prof	code_5
Morocco	Haut-Commissariat aux Eaux et Forêts et à la Lutte Contre la Désertification	8d90be5179e417bcd2dae0c5a7907a29	PostDoc	code_4
Switzerland	Büro für Arbeits und Sozialpolitische Studien	46ceae4021709a72e3201b5d2fc2f017	prof	code_5
United Kingdom of Great Britain and Northern Ireland	Alder Hey Children's NHS Foundation Trust	3bf5b48ce37d4023a2919e13a2e77f3c	prof	code_5
France	Laboratoire des Technologies de la Microélectronique	284f1be7dacf77378555299037de5bf4	PostDoc	code_2
Brazil	Tecnocard (Brazil)	4c969d47c9dd2bf04d9294228ca8b68d	prof	code_1
Slovenia	Krka (Slovenia)	03b52c114a1cb123bd37f077e80c05c6	PhD	code_5
United Kingdom of Great Britain and Northern Ireland	Wessex Regional Genetics Laboratory	cab2325a4bf0c12aeba6053bbf1df363	PhD	code_5
Canada	Centre Jeunesse de Quebec	602367160b608f74a563b21e939b0acb	assistant_prof	code_1
Austria	Interdisciplinary Centre for Comparative Research Foundation	1892b65737d0f644e1a0e3e2587c9482	prof	code_1
Indonesia	Universitas Pahlawan Tuanku Tambusai	c92118cf56bb9b70656c2f7deeb215d6	prof	code_3
Norway	Norske Skog (Norway)	cc094252b6f568310058d9e4131c520e	PostDoc	code_4
United Kingdom of Great Britain and Northern Ireland	Scottish Hydrogen and Fuel Cell Association	fd371093d1a3311058c90933be491f17	PhD	code_5
France	Institut Européen De La Qualité Totale	5ae484d4d8ed3fbe9b8e59db187627a1	PhD	code_2
Brazil	Kryptus (Brazil)	0b005539f150dfcca1902868e997df52	assistant_prof	code_1
Canada	Kativik Regional Government	b210fc8e092ffcee2875bbbcdb8d4209	prof	code_1
Slovakia	International Centre for Applied Research and Sustainable Technology	5fc89b5e19913bdbb1e4926c6dfd8017	PostDoc	code_5
India	Centre for Policy Studies	6475206c90be674b5b449118e6518a9f	PostDoc	code_3
Switzerland	Swiss Group For Clinical Cancer Research	b59f65b8c43f015de1039b8bb904c2bb	PhD	code_5
Ireland	King's Inns	c14cd9b15887d39fcf89e31a9c88aed7	PostDoc	code_3
Canada	Quantic EMC (Canada)	423ae95c49d61e6d855adfbebe7b399c	prof	code_1
India	Hindustan Latex Family Planning Promotion Trust	fcee878e3c3ce1eb438d2ac93b06913f	prof	code_3
Belgium	Research in Advanced Medical Informatics and Telematics	5e5331131588e272650fad99ccc8b99c	PhD	code_1
United Kingdom of Great Britain and Northern Ireland	STMicroelectronics (United Kingdom)	117d6d9aa0e6319b0485b74fbeb1da0f	PhD	code_5
Canada	Québec Consortium for Drug Discovery	1ac6c2b32de29195ee32c9f21d9e3cd8	assistant_prof	code_1
Italy	Institute on Membrane Technology	bfa4ff7a81ac0777cabc75606de53530	PhD	code_3
Zambia	Lusaka Apex Medical University	c3e50ca8cdba14dea26157064ad94a78	assistant_prof	code_5
Russian Federation	Novokuznetsk State Institute of Advanced Medical Education	3e257287cd70759790ad04cd6e1c8877	PhD	code_4
Sweden	Gleechi (Sweden)	9da189976d18456dd334521eded91ab1	PhD	code_5
Germany	University Medical Centre Mannheim	72b459cf5525dcfa835aa86b3af9d40d	PostDoc	code_2
Sweden	Swedish Incubators & Science Parks	ea780f97cb1272084f102e4eec5d7632	PostDoc	code_5
Belgium	University of Antwerp	30c7335dff0ee35d5a880e7085c64647	prof	code_1
Spain	Barajas Clinic	5735a79d3d0e5be61cee3eb543f732e9	prof	code_5
Czechia	Strojírenské Inovační Centrum (Czechia)	f84f2791de6032d8b182ebdc27445b4f	assistant_prof	code_2
France	École Supérieure des Technologies Industrielles Avancées	d25ebf397c58e5dc43411256f655644f	PostDoc	code_2
Italy	Center for Genomic Science	899203dd56f3f4b9f0d620d93daa58f8	PostDoc	code_3
Bahamas	College of The Bahamas	c2e0f9b32966a6c80ec8948c91ad8412	assistant_prof	code_1
Russian Federation	Sakhalin State University	2419ffe87a28e2a87b1a2b586f4cb8a8	PostDoc	code_4
United Kingdom of Great Britain and Northern Ireland	University Hospitals Coventry and Warwickshire NHS Trust	cbb1988783b6819939c983141a858bbc	PostDoc	code_5
Germany	Kommission für Geschichte und Kultur der Deutschen in Südosteuropa	bde3bbe080778d0aa50147e3fe7f34be	PhD	code_2
China	Jiangxi College of Applied Technology	bc9c67ce29a03bd4fcd71fde13e6b753	PostDoc	code_1
Germany	Mattson Technology (Germany)	f0f3d8bd7db1372c532fe11f152c6fbe	assistant_prof	code_2
Japan	The Mainichi	b4a6e8a827a7cd45b6770b6cec883eb9	prof	code_3
France	Pierre-Gilles de Gennes Institute	12960a0eec541ece259321eb8bea3215	PostDoc	code_2
Russian Federation	Russian Federal Centre of Forensic Science of the Ministry of Justice of the Russian Federation	5a765fb0890b610dd0d49f6df8e0c053	PhD	code_4
Argentina	Chemotecnica (Argentina)	d3564af6f0d5f92beb9601c5364d6c5e	prof	code_1
United Kingdom of Great Britain and Northern Ireland	Saffron Walden Community Hospital	754f22cf731085169ed640344cfd0fde	PhD	code_5
France	Diversity, Genomes and Insects-Microorganisms Interactions	e3f1f1ce59774688a6e76ce7ce425816	assistant_prof	code_2
China	Chinese Academy of Engineering	de6bea501123ebf7fb9fa3e55addcd02	PhD	code_1
United Kingdom of Great Britain and Northern Ireland	Northumbrian Water Group (United Kingdom)	fcf9c52093d5d61a746107b8ae857d97	PhD	code_5
United Kingdom of Great Britain and Northern Ireland	Breyer Group (United Kingdom)	65c30c84eb19a5e0079d5498112ea7fd	prof	code_5
Italy	Pluservice (Italy)	340e68b1b4ebc2232fc9383ae0954907	assistant_prof	code_3
Poland	Krzysztof Kucharczyk Techniki Elektroforetyczne (Poland)	2b5e2f16e6ea514835af320a4775de13	assistant_prof	code_4
China	eSpot Lighting (China)	c21df1da8db2f6d6817e1cd6314cddab	PostDoc	code_1
Italy	Trasporti e Territorio	8494f5d50367058a8c15dddacd8fd1a3	assistant_prof	code_3
Italy	Elettra Sincrotrone Trieste	0481664aabe83cf6385efa4d2144ddf8	assistant_prof	code_3
Russian Federation	Mining Institute of the Ural Branch of the Russian Academy of Sciences	7beaeccbffaa37ba0bdaeb57b35985e7	prof	code_4
Austria	Austrian Institute of Historical Research	1c2cf44892c13a7d655de24f9154dc9f	prof	code_1
United Kingdom of Great Britain and Northern Ireland	MediWiSe (United Kingdom)	ec73d0e68e2e5ba4c1afb54191ecca52	prof	code_5
Latvia	Tehnoloģiju Attīstības Forums	28fc726d9ca4c217a886520444ed52f9	PhD	code_3
Republic of Korea	The Society of Modern Literature Theory	243ea1b0193e4ef7c058688064c51ad3	PostDoc	code_4
United Kingdom of Great Britain and Northern Ireland	Site Vision Surveys (United Kingdom)	bec1a641ccede28bdb80b163dfbc9ca0	assistant_prof	code_5
Sweden	Saint Göran Hospital	d02454b65ced9b686c167652fc8abc4b	PostDoc	code_5
Canada	Société Canadienne de Science Economique	1cf1cd1b082cf775d5daff31e600dce1	PostDoc	code_1
Peru	Scientific University of the South	bad91b910a073b41d677d25c9773aa45	assistant_prof	code_4
Norway	Glåmdal Regionråd	7fc95aa6391113644ca8ca9a072bdbcc	PhD	code_4
Brazil	Siporex (Brazil)	74932e8bc89c29e2ed5c34774f637058	PostDoc	code_1
Spain	Synthesia Group (Spain)	ee5d6f8f20b71093f79d50d9a2893ca4	PhD	code_5
Germany	Institut für Site und Facility Management	142746c278a257512ebeff9c1467f01a	assistant_prof	code_2
Netherlands	Reach-Aut Academic Centre for Autism	90dd30cb53a1ef7b7d037da8b7415e23	assistant_prof	code_4
India	Vasantdada Patil Ayurvedic Medical College & Institute Of Yoga	860a4cb0ca1e1ae226a6f7215ea047c3	assistant_prof	code_3
Switzerland	Spectrum Dynamics Medical (Switzerland)	bbeac44d68cfa59541057b172b8d2c83	assistant_prof	code_5
Denmark	Haderslev Hospital	563c421d565529ae025d51ada24bf3a2	PostDoc	code_2
United Kingdom of Great Britain and Northern Ireland	Worldwide Cancer Research	829cd36b2a78eeb69bc47da164f61d42	assistant_prof	code_5
Germany	Fraunhofer Research Institution for Battery Cell Production	2d53ed9e258660616ca0a8dd6097a6a6	assistant_prof	code_2
Russian Federation	Institute of Numerical Mathematics	ce5565073d1220f4635f0db21aa7597a	prof	code_4
Russian Federation	Institute for Languages ​​and Cultures Leo Tolstoy	e9885594db3e455757a36b963c632d8f	PhD	code_4
Republic of Korea	Hanyoung Theological University	15f2e11ef8ab4e90531cfccbe7879527	PostDoc	code_4
India	Software Training and Development Centre	965360dc349ee805d482ed8843846dfa	prof	code_3
Türkiye	TED University	c4d50681e008efc5f58bb5478b10619a	prof	code_5
Estonia	Tilde (Estonia)	beca3a0efe2836151b0fe1473bb08bcd	assistant_prof	code_2
China	Institute of Zoology	9802d02121cbd446e889feff2eb973ec	PhD	code_1
Germany	Deutsche Gesellschaft für Erziehungswissenschaft	388bef71dccfe4783999a84bcf422d46	PhD	code_2
Netherlands	Exor (Netherlands)	e405fcc99ccedbf2a8e69c6d1885a6fa	prof	code_4
Australia	Nazarene Theological College	a3dc826d9dbe0acb3baadcba25fe2721	assistant_prof	code_1
Ireland	Bard (Ireland)	33f7875ff429b017d44cceecf69480c9	assistant_prof	code_3
Canada	Novika Solutions	f88f7792b38452c171d41ebbd663e178	PhD	code_1
Honduras	Universidad de San Pedro Sula	d05bc0ae4423e633cdf401d816584737	assistant_prof	code_3
United Kingdom of Great Britain and Northern Ireland	Llandrindod Wells Hospital	3275bd9dc7a202c3280d3b6277e9f690	prof	code_5
Sweden	MetaSolutions (Sweden)	b3eaf20093f4c79545b0425555395e7d	assistant_prof	code_5
Republic of Korea	Sungae Hospital	6bffa1f2417d5a7e99c5f63a475ff501	prof	code_4
Viet Nam	Forest Industry Research Institute	fcc7232f0eb5715d5bd3b77b50bb361c	assistant_prof	code_5
Republic of Korea	Korea Foundation for Max Planck POSTECH	3d50716ff32c64d5d0c244e072065adb	PostDoc	code_4
United Kingdom of Great Britain and Northern Ireland	Kennedy Martin Health Outcomes (United Kingdom)	39aa7b75bcfd24fb6931eb5d3749bd3e	PostDoc	code_5
Spain	Accenture (Spain)	f2102b9e923440a5b0eb3214dbaa41ee	assistant_prof	code_5
United Kingdom of Great Britain and Northern Ireland	Cranfield Impact Centre	8d16df99a3671ce31dca304fd2a4c5d8	prof	code_5
Brazil	bioMérieux (Brazil)	07daee190b6faade9e76008c018e2a9d	assistant_prof	code_1
Australia	Rural Training Initiatives	56b52c4287fc0980494db75f2114f1b3	prof	code_1
India	Sri Rajiv Gandhi College of Dental Sciences and Hospital	f8c252b14ed2cc4124cbbd395bd165bd	PostDoc	code_3
Iran (Islamic Republic of)	Islamic Azad University, Bojnourd Branch	dca77c4f72d885aba2d044bbe6be523c	prof	code_3
France	Société Française de Cardiologie	f822725514dc970549c326d267c45850	PhD	code_2
China	Center for Agricultural Research	cc534194fbaf1af6422d2be851b7d98f	assistant_prof	code_1
Australia	Rural Training Initiatives	d80e1dd8ba5aa740bfbb184c2bac6677	prof	code_1
Czechia	Redam (Czechia)	c106101f10e3645eaa7685dcbc05d50d	PhD	code_2
China	Shanghai American School	74c4c6777356a9fbb8a48862d8352e65	assistant_prof	code_1
Brazil	Secretaria de Desenvolvimento Econômico e Turístico	013d4ab89b8558e6929bae6d28e9c035	PostDoc	code_1
Viet Nam	Ministry of Information and Communications	f784d45fb98bd9fd0d6ab19b0ec8315e	PostDoc	code_5
Ghana	West End Hospital	b82481582acf8323027e7010b344efe0	assistant_prof	code_2
United Kingdom of Great Britain and Northern Ireland	Cloud Security Alliance	11fd33984148d094d808fbee51487bdf	assistant_prof	code_5
Germany	PI Photovoltaik-Institut (Germany)	dfcc096d77e899a98589515a1528ade3	assistant_prof	code_2
Norway	Elkem (Norway)	1faf064bc6de3ff1ffe626b50488f2eb	PhD	code_4
Germany	Life & Brain (Germany)	a3ca3446266bcc2453de3fb9a0afc7f6	prof	code_2
Germany	Max Planck Institute for Neurobiology of Behavior – caesar	17a842b420474dbfc3e4d90c03a269a7	PostDoc	code_2
Portugal	ADIRA (Portugal)	c1d7df7236517e98064abef67945deeb	PhD	code_4
Poland	Polkom Badania	4b602df4aa3512acbfbcee2340aef67d	PhD	code_4
Colombia	Kavilando	ecf7a277e62d7ad20d43c715d5eaee81	assistant_prof	code_2
Taiwan (Province of China)	China Medical University	c0fbfbdf5fe8340cdcce45241219c549	PhD	code_5
United Kingdom of Great Britain and Northern Ireland	Consort Medical (United Kingdom)	9683dd6112faa981c679b0e7b454de5f	PostDoc	code_5
United Kingdom of Great Britain and Northern Ireland	Statiflo International (United Kingdom)	704de24f18419ddc07eb22ac20d3a505	PhD	code_5
Norway	MicroA (Norway)	6d67863381d2398e4d56e332e10205f6	prof	code_4
South Africa	South African Agency for Science and Technology Advancement	70b820e5e0102703602d1a0fd3c3f52a	assistant_prof	code_5
Brazil	Fluminense Federal University	afc79108a0718639cafc5d9aae9da85a	assistant_prof	code_1
Bulgaria	Medical University Plovdiv	837838c9b2c3e67f6ba2e1b5f293bed2	PostDoc	code_1
Czechia	Electronic Product Services (Czechia)	d7f7b4a4770bd7404120360af864f902	assistant_prof	code_2
Ghana	Council for Scientific and Industrial Research	26af3fef2b0474d0c9185b771076d287	prof	code_2
Netherlands	Association of universities in the Netherlands	976a11ba13f3e5c58f62e72e9a964c3b	assistant_prof	code_4
India	Guru Gobind Singh Indraprastha University	00d643d133af0f177bb416f8bbfd8972	assistant_prof	code_3
Netherlands	Podocentrum Alkmaar	b6bccb1c73a12d3ef0f9d0896f03512d	PhD	code_4
Kuwait	Chest Diseases Hospital	20ff06a02144cb3daf5a1ff8d79c1f0a	PostDoc	code_3
Canada	Association for Canadian Studies	452b46ee9b8a2ccbadca8878d665f9c0	PostDoc	code_1
China	Hefei Normal University	4d6a965dd0f4adf9c576f933e32c1abf	PostDoc	code_1
Sweden	Swedish Society of Oncology	a7049be224887fe49f6ade7ec224090e	PostDoc	code_5
Argentina	Universidad de la Ciudad de Buenos Aires	66ff6e6a8ba5abb1107373697d3e7024	PhD	code_1
Belgium	The German Marshall Fund of the United States	dff5d5b9ea07e198fbdf334e04047c2c	assistant_prof	code_1
China	FirsTune (China)	2c9d47a162cabe8354ae31f0eea0593c	prof	code_1
Republic of Korea	The Linguistic Society of Korea	4c02e13a658fc34966fcefa87611c9f7	prof	code_4
Czechia	Czech Academy of Sciences, Institute of Experimental Botany	7a7a1aa43cb2b182f7d8e41222d9b738	PhD	code_2
Sweden	Stena Recycling (Sweden)	7ef64d95e1800f66dfbd39037f0155ee	PostDoc	code_5
Brazil	Secretaria de Estado da Ciência, Tecnologia e Inovação	ac6cc06087a0b6d1fd339e529e3bf537	PhD	code_1
Israel	Lumenis (Israel)	02fc85af683f78fbcb9ae84729b6af3c	PhD	code_3
China	Teledifusão de Macau	5436d21673d939c0feb87e1baa6c6630	prof	code_1
Slovenia	Anton Trstenjak Institute	5bffb0e81dc5d36253881681f0c1740c	prof	code_5
Netherlands	Gemeente Eindhoven	4f8d6bfc81149e1788bcbc1b6d116b98	assistant_prof	code_4
Canada	Staples (Canada)	2606e8c2a7cbb9ca6632f79191cd55de	prof	code_1
Denmark	Dansk Røde Kors	f6f6f2164607b331643fcd3e4f6d77d4	PhD	code_2
China	Shaanxi Yulin Energy Group	99b299c39839d7c117e2f3b640e3b13b	PhD	code_1
Italy	Consorzio per la Ricerca e l'Educazione Permanente	53f4827a8dffeb7781e85bfd037d430a	PostDoc	code_3
Slovenia	Slovene Ethnographic Museum	a8ce929081f1fc3ec22c9db929dd0b0b	PhD	code_5
China	National Health and Family Planning Commission	7d6d349c699948ab1f968f2fa2c89ac7	assistant_prof	code_1
Netherlands	Phelps Stichting voor Spastici	2502ef585cd605dc03446a33e1b01e4d	PostDoc	code_4
Lithuania	Centro poliklinika	528c2e0a2f50b848fda89f6ed1428177	prof	code_3
Philippines	St. Scholastica's College	10807174f690fefad69965348cc2b3ea	assistant_prof	code_4
Switzerland	Cochlear (Switzerland)	a7a06b4a071ca319bcfdc94091a194fd	prof	code_5
Romania	National Institute of Hydrology and Water Management	e9e6c73b99446c7abaecfe2d837b517e	PostDoc	code_4
Norway	Fesil (Norway)	94f29088e05bb4a906ce5c19bacc124d	PhD	code_4
Poland	University of Security in Poznań	28bb60024796bf10fff8f40a1b3b2fdb	PostDoc	code_4
Australia	Breast Cancer Network Australia	5a0b41bc9c0009a33ce6266c2416d2bf	assistant_prof	code_1
China	China Fishery Machinery and Instrument Research Institute	a151e38f016bab1fc494f6e6e277c541	assistant_prof	code_1
Czechia	Krkonošská Realitní	f61dbfaa9f7091cfcf9184d332d6a62b	PostDoc	code_2
Japan	Aso Iizuka Hospital	8ccdc66007aacd6464fb71f2ff7252b4	assistant_prof	code_3
India	NIIT (India)	2c26fbd404ff8fd244367aa1be269d3e	PhD	code_3
Canada	Aluminerie Alouette (Canada)	bbea3c076755abcab933bc8829b92034	prof	code_1
United Arab Emirates	Dubai Medical College	ab0c658d59a97226bde52d0db89b9d79	assistant_prof	code_5
Spain	UCB Pharma (Spain)	5ab4e78e56c3b0f579bc1009ce0656e1	PostDoc	code_5
Poland	Future Voice System (Poland)	2ca4d6bcdbbbbdea9f448778294a744a	PostDoc	code_4
Germany	Institut für Umformtechnik (Germany)	0620d1cbc502444252e2027da02708bc	PostDoc	code_2
United Kingdom of Great Britain and Northern Ireland	Oxfam	347ae6096d049677390912de2b634c91	PhD	code_5
Pakistan	Chandka Medical College	9c85fb968d27f5c98f55e3fd44a7a8dc	PostDoc	code_4
Germany	GeneXplain (Germany)	b3ab3adb07b75e0e2c6e164d5451e141	PhD	code_2
Taiwan (Province of China)	Taiwan Agricultural Research Institute Council of Agriculture, Executive Yuan	386303ea1930a0bad9657564ab8405ac	PostDoc	code_5
Italy	Piaggio Aerospace (Italy)	f4ad4dd7e196f1883efc5d6a0a20426e	assistant_prof	code_3
United Kingdom of Great Britain and Northern Ireland	IEA Clean Coal Centre	19d0b494611a9959c98d49e90fd7d4b3	PhD	code_5
Italy	Synthema (Italy)	f8f6943e5262a366ab6744ec4b358085	PhD	code_3
